slug,name,logo_url,website_url,tagline,contact_links,date_created,tech_tags,topic_tags,categories,program_slug,logo_bg_color,description_html,ideas_list_url
52north-spatial-information-research-gmbh,52°North Spatial Information Research GmbH,https://summerofcode.withgoogle.com/media/org/52north-spatial-information-research-gmbh/gzamo2sqfwcmcobt-360.png,https://52north.org/,Innovative ideas & technologies in geoinformatics,"[{'name': 'mailingList', 'value': 'gsoc-52n@52north.org'}, {'name': 'chat', 'value': 'https://52n-gsoc.slack.com/ssb/redirect'}, {'name': 'email', 'value': 'gsoc@52north.org'}, {'name': 'twitter', 'value': 'https://twitter.com/fivetwon'}, {'name': 'blog', 'value': 'https://blog.52north.org/'}]",2022-03-08T14:42:43.019731Z,"['javascript', 'android', 'java', 'web services', 'ogc standards']","['citizen science', 'spatial information infrastructures', 'open standards', 'data analytics', 'Geoinformation']","['Science and medicine', 'Data']",2022,,"52°North is an open source initiative in the field of geoinformatics. Core topics of our activities are for example sensor web, web-based geoprocessing and earth observation.",https://wiki.52north.org/Projects/GSoC2024ProjectIdeas
aboutcode,AboutCode,https://summerofcode.withgoogle.com/media/org/aboutcode/pmcafargc6wvl1ck-360.png,https://aboutcode.org,"Scan code for origin, license and vulnerabilities","[{'name': 'chat', 'value': 'https://matrix.to/#/#aboutcode-org_discuss:gitter.im'}, {'name': 'blog', 'value': 'https://www.aboutcode.org/category/news.html'}]",2022-03-08T14:42:43.499498Z,"['python', 'javascript', 'Django+PostgreSQL', 'C/Rust/Go']","['dependencies', 'vulnerabilities', 'SoftwareCompositionAnalysis', 'License', 'SBOM']","['Security', 'Development tools']",2022,,"AboutCode.org is a community of open source developers who are trying to make open source easier to use by providing open source tools to discover, identify and track open source components (aka. Software Composition Analysis – SCA). This includes tools, data and standards for code origin, FOSS licenses and security vulnerabilities.",https://github.com/nexB/aboutcode/wiki/GSOC-2024-Project-Ideas/
academy-software-foundation,Academy Software Foundation,https://summerofcode.withgoogle.com/media/org/academy-software-foundation/80y13ndf7guwxneb-360.png,https://www.aswf.io/,Creating amazing OSS for Media & Entertainment.,"[{'name': 'chat', 'value': 'http://slack.aswf.io/#gsoc-2022'}]",2022-03-08T14:42:44.135055Z,"['c', 'python', 'opengl', 'c++', 'rust']","['graphics', 'media', 'animation', 'Visual Effects', 'Film']",['Media'],2022,,"The Academy Software Foundation (ASWF) was founded in August 2018 by the Academy of Motion Picture Arts & Sciences (AMPAS) as a result of a two-year survey by the Science and Technology Council into the use of Open Source Software (OSS) across the motion picture industry. The survey found that almost 84% of the industry uses open source software, particularly for animation and visual effects, but challenges including siloed development, managing multiple versions of OSS libraries (versionitis) and varying governance and licensing models need to be addressed in order to ensure a healthy open source community.

The ASWF hosts several of the foundational projects that are ubiquitously used in the production of visual effects and feature animation. The mission of the ASWF is to increase the quality and quantity of open source contributions by developing a governance model, legal framework and community infrastructure that lowers the barrier to entry for developing and using open source software.",https://tac.aswf.io/gsoc/2022.html
aflplusplus,AFLplusplus,https://summerofcode.withgoogle.com/media/org/aflplusplus/dw8yelaswljerorz-360.png,https://aflplus.plus,State of the art fuzzing for better security,"[{'name': 'email', 'value': 'afl@aflplus.plus'}, {'name': 'twitter', 'value': 'https://twitter.com/aflplusplus'}]",2022-03-08T14:42:46.483839Z,"['llvm', 'rust', 'fuzzing', 'qemu']","['fuzzing', 'ci']",['Security'],2022,,"We are dedicated to provide the most effective fuzzing frameworks. Our work includes AFL++, the most effective and flexible fuzzer, and libafl, a library to build your own fuzzer with the most modern techniques and technologies.",https://github.com/AFLplusplus/LibAFL/issues/119
ankidroid,AnkiDroid,https://summerofcode.withgoogle.com/media/org/ankidroid/cxtovrlsuuluttgi-360.png,https://github.com/ankidroid/Anki-Android,AnkiDroid makes remembering things easy,"[{'name': 'chat', 'value': 'https://discord.gg/qjzcRTx'}, {'name': 'mailingList', 'value': 'https://groups.google.com/forum/#!forum/anki-android'}, {'name': 'twitter', 'value': 'https://twitter.com/ankidroid'}, {'name': 'facebook', 'value': 'https://www.facebook.com/AnkiDroid/'}]",2022-03-08T14:42:49.921209Z,"['android', 'rust', 'kotlin', 'mobile']","['education', 'mobile', 'android', 'user generated content', 'Flashcards']",['End user applications'],2022,,"Memorize anything with AnkiDroid!<br/><br/>

AnkiDroid lets you learn flashcards very efficiently by showing them just before you would forget. It is fully compatible with the spaced repetition software Anki (including synchronization), which is available for Windows/Mac/Linux/ChromeOS.<br/><br/>

Study all sorts of things wherever and whenever you want. Make good use of idle times on bus trips, in supermarket queues or any other waiting situation!<br/><br/>

Create your own flashcard decks or download free decks compiled for many languages and topics (more than 6000 available).<br/><br/>

Add material through the desktop application Anki or directly through AnkiDroid. The application even supports adding material automatically from a dictionary!<br/><br/>

★ Key features:<br/>
• supported flashcard contents: text, images, sounds, LaTeX & MathJax<br/>
• spaced repetition (supermemo 2 algorithm)<br/>
• text-to-speech integration<br/>
• check your pronunciation<br/>
• more than 6000 premade decks<br/>
• progress widget<br/>
• detailed statistics<br/>
• syncing with AnkiWeb<br/>
• open source",https://docs.google.com/document/d/12Q6SUGDE1SoepbOXqJX2MmFS57it8SXEMpYPl5y9XJM
aossie,AOSSIE,https://summerofcode.withgoogle.com/media/org/aossie/oo1wd34pc1ytrq6a-360.png,https://www.aossie.org,Australian Umbrella Org for Open-Source Projects,"[{'name': 'chat', 'value': 'https://discord.gg/C8wHmwtczs'}, {'name': 'twitter', 'value': 'https://twitter.com/aossie_org'}]",2022-03-08T14:42:51.004130Z,"['python', 'javascript', 'android', 'flutter', 'Blockchain']","['web', 'machine learning', 'natural language processing', 'mobile', 'backend']","['End user applications', 'Social and communication']",2022,,"We are an Australian not-for-profit umbrella organization for open-source projects. We believe the open-source philosophy provides a resource-efficient channel to transfer knowledge and achieve innovation and education. 

In 2023, we offer the following projects:

Agora (Scala, Javascript): a library of vote-counting algorithms for democratic elections. Mind the Word (Javascript, HTML, CSS): a browser extension that helps users to learn new languages. 
Crowd Alert (React-Native, Expo, Jest): a cross-platform mobile application that allows users to post and view incidents around them 
Carbon Footprint (Javascript, HTML, CSS): a browser extension that raises environmental awareness regarding C02 emissions. 
Starcross (iOS, C++, OpenGL, Objective-C): Starcross is a hand-held planetarium for your iOS device. Can be used to identify stars, planets, nebulae and more. 
Social Street Smart (Chrome Extension): Social Street Smart is a Chrome Extension that makes the Internet a more productive place for users. Using algorithms and artificial intelligence, the extension hopes to face the major problems of the modern Internet. Monumento(Mobile Application): to provide users with a unique experience of exploring and learning more about the various monumental structures all around the world within the app.

We have a diverse group of mentors, including GSoC students from previous years who decided to become long-term contributors as well as academics with extensive experience in supervising undergraduate, M.Sc. and PhD students on theses and projects, whose results are often published and presented in the most prestigious conferences of our research fields.",https://www.aossie.org/ideas
apache-software-foundation,Apache Software Foundation,https://summerofcode.withgoogle.com/media/org/apache-software-foundation/hq22fwtmvdfjnsh9-360.png,https://apache.org,Open source software to the public free of charge,"[{'name': 'mailingList', 'value': 'http://apache.org/foundation/mailinglists.html'}, {'name': 'twitter', 'value': 'https://twitter.com/theasf'}]",2022-03-08T14:42:51.797223Z,"['c', 'java', 'c++']","['big data', 'cloud', 'libraries', 'other']","['Web', 'Other']",2022,,"The Foundation provides an established framework for intellectual property and financial contributions that simultaneously limits contributors potential legal exposure. Through a collaborative and meritocratic development process, Apache projects deliver enterprise-grade, freely available software products that attract large communities of users. The pragmatic Apache License makes it easy for all users, commercial and individual, to deploy Apache products.",https://s.apache.org/gsoc2024ideas
apertus-association,Apertus Association,https://summerofcode.withgoogle.com/media/org/apertus-association/s6253gpj4vdsugib-360.png,https://www.apertus.org/,open source cinema,"[{'name': 'email', 'value': 'https://www.apertus.org/contact'}, {'name': 'chat', 'value': 'https://www.apertus.org/irc-chat'}]",2022-03-08T14:42:52.694772Z,"['python', 'c/c++', 'fpga', 'rust', 'nix']","['computer vision', 'linux', 'camera', 'image processing', 'digital hardware design']","['Science and medicine', 'Media']",2022,,"Creating free software and open hardware for professional film production, scientific imaging and industrial vision.",https://lab.apertus.org/project/view/20/
ardupilot,ArduPilot,https://summerofcode.withgoogle.com/media/org/ardupilot/oveqvcxkpgkuv8wq-360.png,https://ardupilot.org/,World's most advanced autonomous vehicle software,"[{'name': 'chat', 'value': 'https://discord.com/channels/674039678562861068/805671364873682954'}, {'name': 'mailingList', 'value': 'https://discuss.ardupilot.org/c/google-summer-of-code/131'}, {'name': 'facebook', 'value': 'https://www.facebook.com/groups/ArduPilot.org/'}, {'name': 'twitter', 'value': 'https://twitter.com/ardupilotteam?lang=en'}]",2022-03-08T14:42:54.238891Z,"['python', 'lua', 'c++', 'pixhawk']","['robotics', 'Drone', 'autonomous vehicle', 'UGV', 'unmanned vehicle']","['Science and medicine', 'End user applications']",2022,,"ArduPilot is the world's most widely used open source flight code software for unmanned autonomous vehicles including planes, multicopters, helicopters, cars, boats, submarines, blimps, antenna trackers and much more.

Written primarily in C++, ArduPilot supports over 70 different types of autopilot hardware including the well known Pixhawk autopilot.

Our team motto, ""Versatile, Trusted, Open"" reflects our team's aim to provide high quality autopilot software that reliably supports a huge variety of frames, sensors and use cases.  The software is open but so is the team, always welcoming of new contributors whether they be software developers, wiki documentors, testers or users.",https://ardupilot.org/dev/docs/gsoc-ideas-list.html#gsoc-ideas-list
audacity,Audacity,https://summerofcode.withgoogle.com/media/org/audacity/7opleanl35jab5va-360.png,https://www.audacityteam.org/,"Free, open source, cross-platform audio software","[{'name': 'chat', 'value': 'https://discord.gg/D8KruQSfeu'}, {'name': 'blog', 'value': 'https://discord.gg/D8KruQSfeu'}]",2022-03-08T14:42:55.430606Z,"['c++', 'qt', 'cmake', 'wxwidgets', 'VST']","['audio', 'editing', 'compression', 'Sound', 'Effects']","['End user applications', 'Media']",2022,,"Audacity is a free and open-source digital audio editor and recording application for Windows, macOS and Linux. Audacity was started in the fall of 1999 by Dominic Mazzoni and Roger Dannenberg at Carnegie Mellon University and was released on May 28, 2000. As of October 24, 2020, it is the most popular download from FossHub, with over one hundred million downloads since March 2015. Previously, downloads were served from Google Code and SourceForge, with a combined total in excess of 120 million downloads. Audacity won the SourceForge 2007 and 2009 Community Choice Award for Best Project for Multimedia. Audacity is licensed under GPLv3, with large parts of the codebase available under GPLv2 or any later version.

Audacity is used for a large variety of audio related purposes, ranging from audio analysis for research, editing podcasts, recording speech and music, digitising vinyl and cassettes, changing audio formats, mixing and master, applying audio effects, batch processing audio, and many more audio editing tasks. It has a long history of open-source contributions and continues to be actively developed by both full-time and part time developers.",https://wiki.audacityteam.org/wiki/GSoC_Ideas_2022
